44.51055	10.95694	Borda	https://en.wikipedia.org/wiki/Borda_(legendary_creature)	The Borda is a fearsome witch-like figure, spelling trouble those who encounter her on foggy nights or near marshlands. Serving as a personification of the dangers of swamps, her legend was often used to scare children and keep them away from hazardous waters.
54.67269	-3.03015	Bowscale Tarn - home to 2 immortal fish	https://www.mysteriousbritain.co.uk/folklore/bowscale-tarn
54.854	-1.574	Lambton Worm	https://en.wikipedia.org/wiki/Lambton_Worm
54.92253	-1.44318	Cauld Lad of Hylton	https://en.wikipedia.org/wiki/Cauld_Lad_of_Hylton
53.96	-1.087	Barghest	https://en.wikipedia.org/wiki/Barghest
54.008	-1.469	Mother Shipton’s Prophecies	https://en.wikipedia.org/wiki/Mother_Shipton
52.315	1.602	Black Shuck	https://en.wikipedia.org/wiki/Black_Shuck
50.716	-3.531	Pixies (Devon)	https://en.wikipedia.org/wiki/Pixie
50.56	-3.93	The Hairy Hands of Dartmoor	https://en.wikipedia.org/wiki/Hairy_Hands
50.152	-5.666	The Knockers (Cornwall)	https://en.wikipedia.org/wiki/Knocker_(folklore)
52.642	-1.127	Black Annis	https://en.wikipedia.org/wiki/Black_Annis
51.467	-0.604	Herne the Hunter	https://en.wikipedia.org/wiki/Herne_the_Hunter
53.544	-2.631	Jenny Greenteeth	https://en.wikipedia.org/wiki/Jenny_Greenteeth
19.4326	-99.1332	La Llorona	https://en.wikipedia.org/wiki/La_Llorona
-37.8136	144.9631	Bunyip	https://en.wikipedia.org/wiki/Bunyip
35.6762	139.6503	Kappa	https://en.wikipedia.org/wiki/Kappa_(folklore)
45.4215	-75.6972	Wendigo	https://en.wikipedia.org/wiki/Wendigo
27.9881	86.925	Yeti	https://en.wikipedia.org/wiki/Yeti
18.2208	-66.5901	Chupacabra	https://en.wikipedia.org/wiki/Chupacabra
46.8119	12.9842	Krampus	https://en.wikipedia.org/wiki/Krampus
58.1467	7.9945	Draugr	https://en.wikipedia.org/wiki/Draugr
14.5995	120.9842	Tikbalang	https://en.wikipedia.org/wiki/Tikbalang
-41.2865	174.7762	Taniwha	https://en.wikipedia.org/wiki/Taniwha
30.9843	-91.9623	Rougarou	https://en.wikipedia.org/wiki/Rougarou
18.5944	-72.3074	La Diablesse	https://en.wikipedia.org/wiki/La_Diablesse
43.059	44.293	Uastyrdzhi	https://en.wikipedia.org/wiki/Uastyrdzhi
50.053	19.9336	Smok Wawelski	https://en.wikipedia.org/wiki/Wawel_Dragon
51.03333	4.1	Ros Beiaard	https://en.wikipedia.org/wiki/Ros_Beiaard_(Dendermonde)	A folkloric horse that has its own festival. Every 10 years, four consecutive brothers are chosen to ride an effigy of the giant horse.
57.33487	-5.17232	Fachan	https://en.wikipedia.org/wiki/Fachan	A monster or giant - having a single eye, hand and foot.
45.09671	-84.0151	Underwater Panther	https://en.wikipedia.org/wiki/Underwater_panther	Mishipeshu, or the underwater panther, is a powerful mythical being from the traditions of Indigenous peoples. With the form of a giant cat covered in scales and spikes, it is regarded as the master of water creatures and a prominent figure in both mythology and ceremonial symbolism.
53.01196	-4.10276	Gelert the Dog	https://en.wikipedia.org/wiki/Gelert	Gelert is a legendary Welsh hound associated with the village of Beddgelert, whose tragic story revolves around a misunderstood act of heroism defending a child from a wolf.
